pc11_state_id,pc11_district_id,pc11_subdistrict_id,pc11_urb_share,pc11_slum_pop,pc11_vd_area,pc11_td_area,pc11_tot_area,pc11_pop_dens,pc11r_pca_tot_p,pc11u_pca_tot_p,pc11_pca_tot_p,pc11r_pca_tot_m,pc11u_pca_tot_m,pc11_pca_tot_m,pc11r_pca_tot_f,pc11u_pca_tot_f,pc11_pca_tot_f,pc11r_pca_p_lit,pc11u_pca_p_lit,pc11_pca_p_lit,pc11r_pca_m_lit,pc11u_pca_m_lit,pc11_pca_m_lit,pc11r_pca_f_lit,pc11u_pca_f_lit,pc11_pca_f_lit,pc11r_pca_p_sc,pc11u_pca_p_sc,pc11_pca_p_sc,pc11r_pca_m_sc,pc11u_pca_m_sc,pc11_pca_m_sc,pc11r_pca_f_sc,pc11u_pca_f_sc,pc11_pca_f_sc,pc11r_pca_p_st,pc11u_pca_p_st,pc11_pca_p_st,pc11r_pca_m_st,pc11u_pca_m_st,pc11_pca_m_st,pc11r_pca_f_st,pc11u_pca_f_st,pc11_pca_f_st
28,538,04563,0,0,201.78,0,201.78,307.43384,62034,0,62034,32201,0,32201,29833,0,29833,30532,0,30532,18954,0,18954,11578,0,11578,9270,0,9270,4779,0,4779,4491,0,4491,17716,0,17716,9404,0,9404,8312,0,8312
28,538,04564,0,0,277.59,0,277.59,176.99846,49133,0,49133,25042,0,25042,24091,0,24091,23347,0,23347,14298,0,14298,9049,0,9049,10728,0,10728,5394,0,5394,5334,0,5334,8060,0,8060,4196,0,4196,3864,0,3864
28,538,04565,0,0,321.75,0,321.75,142.98679,46006,0,46006,23276,0,23276,22730,0,22730,20022,0,20022,12489,0,12489,7533,0,7533,10172,0,10172,5113,0,5113,5059,0,5059,10975,0,10975,5680,0,5680,5295,0,5295
28,538,04566,0,0,313.96,0,313.95999,166.74736,52352,0,52352,26259,0,26259,26093,0,26093,26115,0,26115,15762,0,15762,10353,0,10353,12363,0,12363,6078,0,6078,6285,0,6285,4090,0,4090,2027,0,2027,2063,0,2063
28,538,04567,.4919526,0,255.64,26.13,281.76999,364.71591,52210,50556,102766,25828,25412,51240,26382,25144,51526,24818,34942,59760,14607,19269,33876,10211,15673,25884,9792,5029,14821,4573,2533,7106,5219,2496,7715,10696,1458,12154,5374,827,6201,5322,631,5953
28,538,04568,.84410113,74244,163.68,80.16,243.84,1021.5346,38833,210258,249091,19398,106086,125484,19435,104172,123607,17727,152477,170204,10644,82790,93434,7083,69687,76770,6857,15695,22552,3436,7735,11171,3421,7960,11381,6155,6017,12172,3009,3149,6158,3146,2868,6014
28,538,04569,0,0,238.72,0,238.72,279.49481,66721,0,66721,33816,0,33816,32905,0,32905,29055,0,29055,18035,0,18035,11020,0,11020,8842,0,8842,4432,0,4432,4410,0,4410,12747,0,12747,6460,0,6460,6287,0,6287
28,538,04570,.42674625,29366,216.13,11.86,227.99001,429.13284,56086,41752,97838,28072,20697,48769,28014,21055,49069,21581,26531,48112,13406,14529,27935,8175,12002,20177,9219,4388,13607,4577,2076,6653,4642,2312,6954,5650,220,5870,2843,100,2943,2807,120,2927
28,538,04571,0,0,261.84,0,261.84,213.43187,55885,0,55885,27827,0,27827,28058,0,28058,23099,0,23099,14056,0,14056,9043,0,9043,9953,0,9953,4841,0,4841,5112,0,5112,814,0,814,411,0,411,403,0,403
28,538,04572,0,0,248.56,0,248.56,257.64001,64039,0,64039,31734,0,31734,32305,0,32305,27397,0,27397,16082,0,16082,11315,0,11315,10713,0,10713,4982,0,4982,5731,0,5731,5089,0,5089,2645,0,2645,2444,0,2444
28,538,04573,0,0,236.71,0,236.71001,246.65201,58385,0,58385,29490,0,29490,28895,0,28895,26947,0,26947,16179,0,16179,10768,0,10768,8191,0,8191,4141,0,4141,4050,0,4050,1091,0,1091,546,0,546,545,0,545
28,538,04574,0,0,182.06,0,182.06,273.40988,49777,0,49777,25144,0,25144,24633,0,24633,23497,0,23497,14164,0,14164,9333,0,9333,8011,0,8011,4039,0,4039,3972,0,3972,5026,0,5026,2520,0,2520,2506,0,2506
28,538,04575,0,0,200.92,0,200.92,201.1945,40424,0,40424,20271,0,20271,20153,0,20153,18324,0,18324,10825,0,10825,7499,0,7499,7764,0,7764,3861,0,3861,3903,0,3903,6855,0,6855,3520,0,3520,3335,0,3335
28,538,04576,.43778765,0,230.52,36.84,267.35999,239.73296,36035,28060,64095,18329,14313,32642,17706,13747,31453,16846,18791,35637,10489,10726,21215,6357,8065,14422,9373,3159,12532,4742,1542,6284,4631,1617,6248,2064,2576,4640,1070,1515,2585,994,1061,2055
28,538,04577,0,0,350.15,0,350.14999,143.11867,50113,0,50113,25511,0,25511,24602,0,24602,22263,0,22263,13891,0,13891,8372,0,8372,10575,0,10575,5432,0,5432,5143,0,5143,6737,0,6737,3435,0,3435,3302,0,3302
28,538,04578,.090638898,0,1097.12,3.33,1100.45,45.55682,45589,4544,50133,22607,2261,24868,22982,2283,25265,22068,2900,24968,13120,1694,14814,8948,1206,10154,14042,1054,15096,6792,524,7316,7250,530,7780,10990,535,11525,5540,280,5820,5450,255,5705
28,538,04579,.40679786,0,353.73,18.7,372.42999,187.61916,41450,28425,69875,21178,14841,36019,20272,13584,33856,16943,19511,36454,10775,11382,22157,6168,8129,14297,6607,4858,11465,3343,2408,5751,3264,2450,5714,17640,2728,20368,9137,1692,10829,8503,1036,9539
28,538,04580,0,0,201.56,0,201.56,169.80055,34225,0,34225,17208,0,17208,17017,0,17017,15531,0,15531,9464,0,9464,6067,0,6067,8520,0,8520,4322,0,4322,4198,0,4198,4221,0,4221,2087,0,2087,2134,0,2134
28,538,04581,0,0,243.39,0,243.39,203.72653,49585,0,49585,24951,0,24951,24634,0,24634,23772,0,23772,14045,0,14045,9727,0,9727,14300,0,14300,7060,0,7060,7240,0,7240,1054,0,1054,513,0,513,541,0,541
28,538,04582,0,0,225.35,0,225.35001,170.29065,38375,0,38375,19311,0,19311,19064,0,19064,17283,0,17283,10357,0,10357,6926,0,6926,8862,0,8862,4435,0,4435,4427,0,4427,1311,0,1311,667,0,667,644,0,644
28,538,04583,.35864735,0,211.12,7.61,218.73,341.64496,47927,26801,74728,24185,13434,37619,23742,13367,37109,20422,18970,39392,12218,10371,22589,8204,8599,16803,11481,2586,14067,5708,1306,7014,5773,1280,7053,470,390,860,237,199,436,233,191,424
28,538,04584,0,0,259.15,0,259.14999,280.328,72647,0,72647,36705,0,36705,35942,0,35942,32040,0,32040,19367,0,19367,12673,0,12673,13261,0,13261,6634,0,6634,6627,0,6627,8662,0,8662,4435,0,4435,4227,0,4227
28,538,04585,0,0,186.16,0,186.16,261.98431,48771,0,48771,24991,0,24991,23780,0,23780,20764,0,20764,12722,0,12722,8042,0,8042,7488,0,7488,3848,0,3848,3640,0,3640,9003,0,9003,4702,0,4702,4301,0,4301
28,538,04586,0,0,191.29,0,191.28999,273.83032,52381,0,52381,26462,0,26462,25919,0,25919,24029,0,24029,14489,0,14489,9540,0,9540,7100,0,7100,3551,0,3551,3549,0,3549,2722,0,2722,1426,0,1426,1296,0,1296
28,538,04587,.11197632,0,184.57,6.53,191.10001,263.42752,44704,5637,50341,22118,2701,24819,22586,2936,25522,19433,3190,22623,11772,1812,13584,7661,1378,9039,7167,1083,8250,3454,517,3971,3713,566,4279,1692,40,1732,848,19,867,844,21,865
28,538,04588,0,0,286.85,0,286.85001,172.07251,49359,0,49359,24500,0,24500,24859,0,24859,19837,0,19837,11875,0,11875,7962,0,7962,7669,0,7669,3791,0,3791,3878,0,3878,1987,0,1987,974,0,974,1013,0,1013
28,538,04589,0,0,353.55,0,353.54999,203.72791,72028,0,72028,36094,0,36094,35934,0,35934,32177,0,32177,19057,0,19057,13120,0,13120,11319,0,11319,5523,0,5523,5796,0,5796,503,0,503,249,0,249,254,0,254
