lgd_state_id,lgd_district_id,pc11_tot_all_hosp,pc11_tot_all_hosp_doc_tot,pc11_tot_all_hosp_pmed_tot,pc11_tot_disp,pc11_tot_ch_cntr,pc11_tot_ph_cntr,pc11_tot_phs_cntr,pc11_tot_mcw_cntr,pc11_tot_tb_cln,pc11_tot_mh_cln,pc11_tot_fwc_cntr,pc11_tot_nh,pc11_tot_mh
12,239,1,10,98,1,0,5,18,0,0,0,0,0,0
12,240,1,13,24,3,1,1,14,0,1,0,0,0,1
12,241,1,36,25,6,4,6,39,5,0,0,0,0,0
12,242,2,11,34,5,2,5,33,4,3,0,1,0,1
12,243,1,18,41,1,1,5,9,0,0,0,0,0,1
12,628,1,9,35,0,1,3,17,0,0,0,0,0,0
12,666,2,17,79,0,1,1,17,0,0,0,0,0,0
12,677,0,0,0,0,0,6,14,0,0,0,0,0,0
12,678,1,7,47,7,2,4,17,2,0,0,2,0,0
12,679,7,0,0,1,1,6,23,1,0,0,1,0,0
12,718,0,0,0,2,0,3,12,1,0,1,0,0,0
12,719,0,0,0,2,2,4,13,0,0,0,0,0,0
12,723,1,3,0,1,1,2,15,1,1,0,1,0,0
12,724,1,8,65,1,0,2,9,0,0,0,0,0,0
12,725,0,0,0,0,1,2,3,0,0,0,0,0,0
13,244,9,130,330,10,2,9,30,0,1,0,3,9,1
13,245,7,45,150,6,8,11,13,1,1,0,0,4,1
13,246,2,18,45,10,5,13,33,0,0,1,0,2,1
13,247,1,10,20,14,2,8,41,0,0,0,0,0,1
13,248,1,12,20,7,3,15,36,0,0,0,0,0,1
13,249,1,18,30,14,3,11,20,5,1,0,0,0,1
13,250,1,12,23,12,2,18,25,0,0,0,2,1,1
13,251,1,8,18,29,3,11,25,1,0,0,1,0,1
13,613,3,8,18,7,1,7,14,0,0,0,0,0,1
13,614,1,8,15,5,1,2,4,1,0,0,0,0,1
13,615,1,8,10,2,0,3,4,0,0,0,0,0,1
14,252,1,24,24,6,0,4,15,0,0,0,0,1,0
14,253,0,0,0,0,0,2,10,0,0,0,0,0,0
14,254,2,10,17,14,0,7,40,2,2,0,3,1,0
14,255,2,132,360,23,1,17,24,0,0,0,0,13,0
14,256,1,247,622,30,0,11,35,0,0,0,0,45,0
