,bad_flg_covaxin,bad_flg_covishield,female_vac,first_dose_admin,lgd_district_id,lgd_state_id,male_vac,second_dose_admin,total_covaxin,total_covishield,total_individuals_registered,total_sessions_conducted,total_sites,trans_vac
186194,,,122294,221296,564,32,98971,22125,8487,234934,221296,5600,46,31
186483,,,235829,439339,565,32,203453,51001,16725,473615,439339,9750,49,57
186772,1.0,,176468,313417,566,32,136914,41402,14908,339911,313417,12500,67,35
187061,,,53528,98974,567,32,45438,15179,3891,110262,98974,590,5,8
187350,,,338960,717149,568,33,378128,51441,219221,549369,717149,135850,493,61
187639,,,88127,183342,569,33,95198,20020,19747,183615,183342,16000,100,17
187928,,,30366,67061,570,33,36686,4912,12267,59706,67061,3900,39,9
188217,,,22489,44077,571,33,21583,5915,4385,45607,44077,10750,96,5
188506,,,31576,61391,572,33,29811,6705,4352,63744,61391,15800,149,4
188795,,,30711,62835,573,33,32112,5270,9488,58617,62835,10500,92,12
189084,,,15703,31184,574,33,15478,4689,1561,34312,31184,8700,34,3
189373,,,31129,55371,575,33,24242,6244,2286,59329,55371,10010,95,0
189662,,,16266,31265,576,33,14999,4252,3022,32495,31265,10600,85,0
189951,,,38922,76607,577,33,37675,7508,9180,74935,76607,12100,120,10
190240,,,55036,110319,578,33,55263,13740,10486,113573,110319,21800,218,20
190529,,,13407,27903,579,33,14492,2872,3509,27266,27903,2900,26,4
190818,,,38596,76394,580,33,37787,5151,7451,74094,76394,9900,99,11
191107,,,11158,19595,581,33,8436,2794,685,21704,19595,5100,51,1
191396,,,21607,40988,582,33,19377,3251,3094,41145,40988,8500,85,4
191685,,,16231,29699,583,33,13466,4785,1559,32925,29699,11200,104,2
191974,,,98949,180903,584,33,81935,16991,17213,180681,180903,29000,248,19
192263,,,15509,31512,585,33,16000,4549,3776,32285,31512,7800,70,3
192552,,,31964,65749,586,33,33780,10091,7379,68461,65749,21100,133,5
192841,,,35062,66720,587,33,31654,7375,4543,69552,66720,8500,83,4
